id,name,now_cost,position,team,starts,penalties_missed,own_goals,ep_next,influence,news,total_points,creativity_rank_type,expected_goals_conceded_per_90,influence_rank_type,goals_conceded_per_90,bonus,penalties_order,expected_goal_involvements,selected_rank_type,news_added,ict_index,value_season,expected_goals_per_90,transfers_out_event,web_name,form_rank_type,expected_assists_per_90,form,expected_assists,clean_sheets_per_90,clean_sheets,threat_rank,goals_scored,penalties_saved,minutes,threat,goals_conceded,red_cards,can_select,now_cost_rank_type,event_points,ep_this,chance_of_playing_this_round,in_dreamteam,transfers_in_event,chance_of_playing_next_round,value_form,cost_change_start,status,points_per_game_rank,cost_change_event,cost_change_start_fall,yellow_cards,transfers_in,corners_and_indirect_freekicks_order,selected_rank,ict_index_rank_type,direct_freekicks_order,influence_rank,now_cost_rank,expected_goal_involvements_per_90,creativity,points_per_game_rank_type,expected_goals,transfers_out,form_rank,region,bps,dreamteam_count,saves,saves_per_90,selected_by_percent,expected_goals_conceded,creativity_rank,cost_change_event_fall,points_per_game,assists,starts_per_90,threat_rank_type,ict_index_rank
319,Harvey Elliott,52,MID,Liverpool,0,0,0,1.0,9.8,,3,175,0.52,203,0.0,0,,0.13,116,2024-09-08T23:00:06.842081Z,4.8,0.6,0.19,177,Elliott,162,0.43,0.5,0.09,0.0,0,370,0,0,19,6.0,0,0,True,100,1,1.5,100.0,False,176,100.0,0.1,-3,a,436,0,3,0,12767,,347,194,,426,168,0.62,32.1,209,0.04,108648,324,241.0,12,0,0,0.0,0.2,0.11,298,0,1.0,0,0.0,198,400
320,Endo Wataru,47,MID,Liverpool,0,0,0,0.7,12.2,,6,203,0.99,194,0.0,0,,0.01,147,,2.6,1.3,0.0,232,Endo,181,0.04,0.2,0.01,0.0,0,398,0,0,20,2.0,0,0,True,215,0,1.2,,False,107,,0.0,-3,a,419,0,3,0,16585,,416,204,,415,328,0.04,11.6,197,0.00,28159,382,108.0,20,0,0,0.0,0.1,0.22,361,0,1.0,0,0.0,211,421
321,Cody Gakpo,71,FWD,Liverpool,7,0,0,5.7,192.2,,43,7,1.07,20,1.06,9,,3.60,18,,62.3,6.1,0.37,4340,Gakpo,4,0.1,5.2,0.78,0.26,2,53,3,0,682,254.0,8,0,True,9,9,6.2,,False,22276,,0.7,-4,a,142,0,4,3,311942,,109,20,,164,23,0.47,176.1,22,2.83,449053,24,152.0,192,0,0,0.0,2.9,8.08,102,0,2.9,1,0.92,20,89
322,Joe Gomez,49,DEF,Liverpool,3,0,0,2.5,82.4,,11,131,1.12,104,1.2,0,,0.36,58,,14.4,2.2,0.1,4785,Gomez,47,0.01,2.0,0.03,0.3,1,229,0,0,301,54.0,4,0,True,28,1,3.0,,False,6210,,0.4,-1,a,275,0,1,0,232127,,138,104,,293,251,0.11,6.2,86,0.33,81266,162,241.0,56,0,0,0.0,2.1,3.73,391,0,1.8,0,0.9,68,321
323,Ryan Gravenberch,50,MID,Liverpool,15,0,0,3.0,220.0,,37,76,0.95,49,0.81,1,,2.11,64,,44.2,7.4,0.04,3281,Gravenberch,60,0.1,2.5,1.49,0.48,7,243,0,0,1326,49.0,12,0,True,139,2,3.5,,False,1106,,0.5,0,a,178,0,0,4,185058,,215,88,,142,218,0.14,173.0,74,0.62,134918,116,152.0,246,0,0,0.0,0.9,13.93,105,0,2.5,1,1.02,133,153
324,Curtis Jones,53,MID,Liverpool,7,0,0,3.3,178.6,,39,115,1.26,71,1.28,3,,2.18,76,2024-08-27T11:00:05.666567Z,47.6,7.4,0.28,4664,Jones,53,0.03,2.8,0.22,0.28,2,74,2,0,633,193.0,9,0,True,88,1,3.8,100.0,False,1071,100.0,0.5,-2,a,101,0,2,1,121493,,239,83,,183,149,0.31,103.9,42,1.96,72203,105,241.0,180,1,0,0.0,0.6,8.86,176,0,3.2,2,1.0,44,141
325,Caoimhin Kelleher,46,GKP,Liverpool,8,0,0,4.5,196.8,,37,65,1.21,18,1.12,1,,0.00,15,,19.7,8.0,0.0,69977,Kelleher,4,0.0,4.0,0.00,0.38,3,636,0,1,720,0.0,9,0,True,13,0,5.0,,False,3340,,0.9,1,a,29,0,-1,0,693774,,89,20,,156,346,0.0,0.0,3,0.00,323649,53,104.0,127,1,24,3.0,4.1,9.68,651,0,4.6,0,1.0,60,285
326,Ibrahima Konaté,52,DEF,Liverpool,11,0,0,0.0,228.8,Knee injury - Unknown return date,46,77,0.92,51,0.74,1,,1.03,30,2024-11-28T10:30:07.514061Z,34.2,8.8,0.08,27045,Konaté,229,0.01,0.0,0.15,0.46,5,210,1,0,974,65.0,8,0,True,20,0,0.0,0.0,False,213,0.0,0.0,2,i,61,0,-2,4,2092665,,85,59,,131,165,0.09,46.9,11,0.88,1968123,674,73.0,200,0,0,0.0,4.4,9.92,274,0,3.8,1,1.02,56,206
327,Luis Díaz,74,MID,Liverpool,10,0,0,2.7,281.8,,73,46,0.86,28,0.62,8,,5.26,7,,85.0,9.9,0.39,71161,Luis Díaz,77,0.15,2.2,1.48,0.72,7,36,5,0,877,319.0,6,0,True,12,1,3.2,,False,5316,,0.3,-1,a,25,0,1,1,4320719,,24,27,,81,18,0.54,249.3,13,3.78,3764050,151,48.0,225,3,0,0.0,15.5,8.42,58,0,4.9,3,1.03,21,37
328,Mohamed Salah,134,MID,Liverpool,15,0,0,12.7,700.6,,156,19,1.0,1,0.89,28,2.0,13.77,1,,188.1,11.6,0.72,7808,M.Salah,1,0.22,12.2,3.29,0.48,7,2,13,0,1317,807.0,13,0,True,1,5,13.2,,True,45442,,0.9,9,a,1,0,-9,1,5113580,,1,1,,1,2,0.94,374.5,1,10.48,2030105,1,63.0,497,6,0,0.0,63.3,14.58,23,0,10.4,9,1.03,1,1
